Category,Standard/Certification Name,Total number of methodologies,Introducing Entity,Type of Organization,Geographic Scope,Focus/Sector,Link,ICROA,CORSIA,Corresponsding adjustment Label,Notes,Link
Independent National,Peatland Code,1,IUCN UK Peatland Programme,NGO Programme / Standard Body,National (UK),"Peatland Restoration, Climate Benefit (GHG Reduction)",https://www.iucn-uk-peatlandprogramme.org/peatland-code-0,No,No,No,"Voluntary certification standard for UK peatland restoration projects, marketing climate benefits. Provides assurance via independent validation/verification. Managed by IUCN UK Peatland Programme.",https://www.iucn-uk-peatlandprogramme.org/peatland-code-0
,Portuguese Voluntary Carbon Market,,Portugal,Governmental,National,,,,,,,
,Quebec Offset Crediting Mechanism,,Quebec,Governmental,Subnational,,,,,,,
,RGGI CO2 Offset Mechanism,,"Connecticut, Delaware, Maine, Maryland, New Jersey, New York, Vermont",Governmental,Subnational,,,,,,,
Independent International,Regenagri,,Regenagri,Initiative / Program / Standard Body,Global,"Regenerative Agriculture, Soil Health, Biodiversity, GHG Reduction, Carbon Sequestration",https://regenagri.org/,No,No,No,"International regenerative agriculture program focused on soil health, biodiversity, GHG reduction, and carbon sequestration. Provides routes to carbon credit markets.",https://regenagri.org/
,Republic of Korea Offset Credit Mechanism,,"Korea, Rep.",Governmental,National,,,,,,,
,Saitama Forest Absorption Certification System,,Saitama,Governmental,Subnational,,,,,,,
,Saitama Target Setting Emissions Trading System,,Saitama,Governmental,Subnational,,,,,,,
,Sakhalin Oblast Pilot crediting mechanism,,Sakhalin,Governmental,Subnational,,,,,,,
Independent International,SocialCarbon,,Social Carbon Foundation,Non-profit Foundation / Standard Body,Global,"Nature-Based Solutions (NBS), Social Co-benefits, Biodiversity, Local Communities, Peatland Restoration, ARR",https://www.socialcarbon.org/,Yes,Approved,,"Holistic standard for NBS, focusing on social co-benefits, biodiversity, and local community involvement. CORSIA approved. Offers Nature Stewardship Framework (NSF) and Insetting Framework.",https://www.socialcarbon.org/
,South Africa Crediting Mechanism,,South Africa,Governmental,National,,,,,,,
,Spain FES-CO2 Program,,Spain,Governmental,National,,,,,,,
,Sri Lanka Carbon Crediting Mechanism,,Sri Lanka,Governmental,National,,,,,,,
,Switzerland CO2 Attestations Crediting Mechanism,,Switzerland,Governmental,National,,,,,,,
,Taiwan Voluntary GHG Reduction Program,,"Taiwan, China",Governmental,Subnational,,,,,,,
,Tokyo Cap-and-Trade Program,,Tokyo,Governmental,Subnational,,,,,,,
Governmental National,UK Woodland Carbon Code,1,Scottish Forestry (on behalf of UK Gov agencies),Government Agency / Standard Body,National (UK),"Woodland Creation, Climate Change Mitigation",https://www.woodlandcarboncode.org.uk/,Yes,No,No,UK's voluntary quality assurance standard for woodland creation projects. Government-backed. Managed by Scottish Forestry. ICROA accredited.,https://www.woodlandcarboncode.org.uk/
,Washington Crediting Mechanism,,Washington,Governmental,Subnational,,,,,,,
,CredibleCarbon (2008),,,,,,,,,,annually audited and certified by the TÜV Rheinland Energy GmbH,
,Moor Futures (UK) (2011),,,,,,,,,,,
,Natural Forest Standard (nfs) (2012),,,,,,,,,,,
,CarbonClear (2018),,,,,,,,,,,
,Open Forest Protocol (2020),,,,,,,,,,,
,COLCX (Colombia) (2020),,,,,,,,,,https://www.perplexity.ai/search/give-me-links-to-at-least-20-b-J2FeWZITQNm_8VNdUVCB8A#2,
,Capsule (C-Capsule) (2020),,,,,,,,Approved,Yes,Standard is TREES (The REDD+ Environmental Excellence Standard). Focuses on governmental jurisdictions.,https://www.artredd.org/
,Economy of Love (2020),,,,,,,,,,,
,Universal Carbon Registry (UCR) (2020),,,,,,,,,,,
,Carbon Standards International (CSI) / riverse (2021),,,,,,,,,,,
,Wilder Carbon (2021),,,,,,,,,,,
,COVALENT (2022),,,,,,,Yes,Applied,,Uses blockchain (LACCHAIN). Integrated with Climate Action Data Trust.,https://biocarbonstandard.com/en/
,REGISTRY (Russian Carbon Registry) (2022),,,,,,,,,,,
,POPLE (Korea) (2023),,,,,,,Yes,Approved,,Voluntary carbon certification programme. Also has a Biodiversity Certification Programme.,https://www.cercarbono.com/
,Wald-Klimastandard (eva) (Germany) (2023),,,,,,,,,,,
,Tero Carbon (Latin America) (2023),,,,,,,Yes,,,National nonprofit carbon registry focused on urban forests. Also offers Impact Certification.,https://www.cityforestcredits.org/
,Asia Carbon Institute (ACI) (2023),,,,,,,Yes,Approved,,"Most trusted, efficient, and experienced offset registry for global carbon markets. Runs voluntary and compliance programs (e.g., California). Originally California Climate Action Registry.",https://www.climateactionreserve.org/
,Carbon Registry Thailand (CRT) (2023),,,,,,,,,,,
,SBA Group (Brazil?) (2011) - Reason: Could not find relevant standard information,,,,,,,,,,,
,Premium Climate Fund (PCF) (2022) - Reason: No evidence found for a distinct baseline-and-credit standard,,,,,,,,,,,
,"EKCS (Korea?) (2023) - Reason: Could not find specific standard information, results point to K-ETS or general VCM",,,,,,,,,,,
,"Crédit Climatic (France?) (2023) - Reason: Could not find specific standard information, results point to general climate finance/charters",,,,,,,,,,,
,Equitable Earth (2023),,,,,,,,,,,
,HCS (High Carbon Stock Approach?) (2023),,,,,,,,,,,
,OxCarbon (Oxford?) (2023),,,,,,,,,,,
,GENESYS RESERVE (2023),,,,,,,Applied,,,"Carbon removal standard & registry. Focuses exclusively on long-duration, additional CDR. Emphasizes scientific rigor & transparency. Uses Certify platform for MRV.",https://isometric.com/
,Ecosystem Restoration Standard (ERS) (2023),,,,,,,,,,,
,ORME (Italy?) (2023),,,,,,,,,,,
,Open Carbon Protocol (OCP) (2024),,,,,,,,,,,
,SEQUOIA CARBON (2024),,,,,,,,,,French official voluntary certification scheme for GHG reduction/sequestration projects within France.,https://label-bas-carbone.ecologie.gouv.fr/
,GLOBAL HEAT REDUCTION (GHR) / SCS GLOBAL SERVICES (2024),,,,,,,No,No,No,"Marketplace connecting landowners (esp. smallholders >=40 acres) with natural capital programs like short-term (e.g., 1-year) harvest deferral. Methodology has faced scrutiny/changes.",https://ncx.com/
,Mongolian Forest Carbon Program (2024),,,,,,,,,,,
,,,,,,,,No,No,No,"Voluntary certification standard for UK peatland restoration projects, marketing climate benefits. Provides assurance via independent validation/verification. Managed by IUCN UK Peatland Programme.",https://www.iucn-uk-peatlandprogramme.org/peatland-code-0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,No,No,No,"International regenerative agriculture program focused on soil health, biodiversity, GHG reduction, and carbon sequestration. Provides routes to carbon credit markets.",https://regenagri.org/
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Yes,Approved,,"Holistic standard for NBS, focusing on social co-benefits, biodiversity, and local community involvement. CORSIA approved. Offers Nature Stewardship Framework (NSF) and Insetting Framework.",https://www.socialcarbon.org/
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Yes,No,No,UK's voluntary quality assurance standard for woodland creation projects. Government-backed. Managed by Scottish Forestry. ICROA accredited.,https://www.woodlandcarboncode.org.uk/
